BGGId,Name,YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,ComMinPlaytime,ComMaxPlaytime,IsReimplementation,Kickstarted,Score_strategygames,Score_abstracts,Score_familygames,Score_thematic,Score_cgs,Score_wargames,Score_partygames,Score_childrensgames,Rating,Avg_popularity_log,NumAlternates_log,NumImplementations_log,NumExpansions_log,NumWeightVotes_log
168435,Between Two Cities,2015,1.8147,1,7,9.0,25.0,25.0,0,1,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,3,8.528990001295748,1.3862943611198906,0.6931471805599453,0.6931471805599453,5.831882477283517
35497,Fauna,2008,1.4777,2,6,8.0,45.0,60.0,0,0,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,3,7.586127173959928,1.0986122886681098,1.0986122886681098,0.6931471805599453,5.41610040220442
330038,Llamaland,2021,2.0,2,4,8.0,45.0,45.0,0,0,0.0,0.0,0.0013550135501355014,0.0,0.0,0.0,0.0,0.0,3,6.396929655216146,0.6931471805599453,0.0,0.0,2.9444389791664403
942,Snail's Pace,2000,1.0,2,6,10.0,60.0,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.4760986898352733,0.6931471805599453,0.0,0.0,1.3862943611198906
6659,Harry Potter Casting Stones,2001,1.25,2,2,10.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.9383403137455195,1.0986122886681098,0.0,0.0,1.6094379124341003
219988,In Tenebris Lux,2017,2.0,1,4,14.0,0.0,60.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.105394398408686,0.0,0.0,0.0,1.0986122886681098
301002,Dream Runners,2020,1.6,2,4,8.0,30.0,40.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.767855768265187,0.0,0.0,0.0,1.791759469228055
7866,10 Days in the USA,2003,1.397,2,4,8.0,30.0,30.0,0,0,0.0,0.0,0.001445086705202312,0.0,0.0,0.0,0.0,0.0,2,6.942478715040522,1.0986122886681098,0.0,0.0,5.298317366548036
27674,Nacho Loco,2007,1.0,2,6,6.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.075173815233827,0.6931471805599453,0.0,0.0,2.8903717578961645
72132,Dragon Rampage,2012,2.0926,3,5,9.0,90.0,120.0,0,0,0.0,0.0,0.0,0.001392757660167131,0.0,0.0,0.0,0.0,2,5.915303186142418,0.0,0.6931471805599453,0.0,4.007333185232471
